customer_phone,calls,any_port_out,any_30dacc,any_cleanup,any_callback,avg_drift,first_ts,last_ts
cust_ec29e29b1db6ac5b,1613,1,1,1,1,0.4349437826587547,2025-11-01 08:35:02,2026-01-29 19:44:40
cust_f6cb9980dd0bd17b,731,1,1,1,1,0.4345878932968536,2025-11-01 00:18:18,2026-01-29 17:57:30
cust_b42c7f26c6f8736b,467,1,1,1,1,0.44512350871826245,2025-11-01 11:50:17,2026-01-29 16:10:34
cust_0352b7f8e22dc95c,325,1,1,1,1,0.42325890109890113,2025-11-01 12:59:26,2026-01-29 19:09:36
cust_9c89fc8ddbaeaae0,272,1,1,1,1,0.44304897584033615,2025-11-01 15:17:16,2026-01-29 18:40:38
cust_b9eff51042f76610,207,1,1,1,1,0.4390598688750863,2025-11-01 12:30:13,2026-01-29 19:26:01
cust_9eb9f9bd99a2a85e,178,1,1,1,1,0.4453770064205458,2025-11-01 16:52:06,2026-01-29 19:16:52
cust_f5005abf6d9cda10,152,1,1,1,1,0.4059050751879699,2025-11-01 11:35:06,2026-01-29 15:19:58
cust_017fe35562dde2c5,137,1,1,1,1,0.4685070385818561,2025-11-01 11:25:13,2026-01-29 16:33:34
cust_3c88652d93e0dfb9,104,1,1,1,1,0.4089275412087912,2025-11-01 19:54:25,2026-01-29 20:27:33
cust_daabd162addba6c4,97,1,1,1,1,0.4347485272459499,2025-11-01 15:02:08,2026-01-29 15:09:26
cust_962c7afc74cf88ae,97,1,1,1,1,0.4244664948453608,2025-11-01 17:37:46,2026-01-29 11:24:31
cust_87b1610d994dc9de,96,1,1,1,1,0.4073441220238095,2025-11-01 14:22:51,2026-01-29 18:56:18
cust_a26bd8b63fabb509,77,1,1,1,1,0.4959104823747681,2025-11-01 10:33:49,2026-01-28 13:59:07
cust_3e45195d6db1acb4,75,1,1,1,1,0.42472095238095237,2025-11-01 18:46:32,2026-01-27 12:51:53
cust_ba71a81695ccd4ee,68,1,1,1,1,0.38911397058823527,2025-11-01 13:56:11,2026-01-29 20:15:54
cust_53af58f12ef7072a,67,1,1,1,1,0.4164301705756929,2025-11-03 15:46:36,2026-01-29 11:29:47
cust_e5aa2d93ca2d2755,67,1,1,1,1,0.4081087420042644,2025-11-01 12:44:51,2026-01-29 17:55:09
cust_9ec109b77b4dba44,65,1,1,1,1,0.4341785714285714,2025-11-01 12:04:34,2026-01-28 18:05:12
cust_41f1c996d33ab40e,64,1,1,1,1,0.39806752232142856,2025-11-01 14:14:41,2026-01-29 17:06:22
cust_eee032c9c868f4b8,61,1,1,1,1,0.4051446135831382,2025-11-01 13:49:07,2026-01-28 14:30:34
cust_3fbb20d5083fff1d,56,1,1,1,1,0.4244751275510204,2025-11-03 15:34:37,2026-01-29 15:56:11
cust_04518196c104e4ef,46,1,1,1,1,0.41741149068322975,2025-11-04 17:01:27,2026-01-29 16:36:55
cust_55a177b1110bfd91,45,1,1,1,1,0.4087325396825397,2025-11-04 20:42:45,2026-01-26 09:04:33
cust_1538029a59c5ed95,43,1,1,1,1,0.41462541528239205,2025-11-04 13:09:07,2026-01-29 13:04:16
cust_a34c7804df8d94c1,42,1,1,1,1,0.4069073129251701,2025-11-04 14:57:48,2026-01-27 11:37:09
cust_83e86da8d09e20ab,40,1,1,1,1,0.3975214285714286,2025-11-06 10:00:49,2026-01-29 16:33:27
cust_357be689b9ccf406,39,1,1,1,1,0.3953507326007326,2025-11-01 13:05:44,2026-01-21 19:44:17
cust_948dd38e261696bf,39,1,1,1,1,0.36930128205128204,2025-11-02 16:09:01,2026-01-29 16:28:03
cust_81e02a6a5af72d0a,37,1,1,1,1,0.381300193050193,2025-11-01 10:04:35,2026-01-24 15:07:54
cust_fd7d13633005e7aa,35,1,1,1,1,0.36090204081632654,2025-11-01 16:06:12,2026-01-29 10:45:06
cust_b867f7d69c300d96,34,1,1,1,1,0.37588970588235293,2025-11-06 15:34:19,2026-01-29 13:55:36
cust_4c409300d45add30,34,1,1,1,1,0.3748602941176471,2025-11-02 16:17:47,2026-01-26 11:58:33
cust_c8536fbdc9509f1a,30,1,1,1,1,0.35000595238095233,2025-11-07 10:31:08,2026-01-23 15:17:25
cust_826cdc616591e0f1,30,1,1,1,1,0.3316797619047619,2025-11-03 16:58:10,2026-01-29 17:31:19
cust_b325076d95b67dac,29,1,1,1,1,0.32620073891625617,2025-11-04 13:28:12,2026-01-29 18:07:54
cust_72e14b71e0c0c9c9,29,1,1,1,1,0.3031243842364532,2025-11-04 09:48:28,2026-01-29 18:58:50
cust_efc87c21bc6974ce,28,1,1,1,1,0.35483545918367343,2025-11-03 11:28:26,2026-01-28 15:42:42
cust_1e30202828538ca2,28,0,1,1,1,0.2595676020408163,2025-11-01 09:01:52,2026-01-28 18:50:57
cust_0ce5f60b22c770cb,27,1,1,1,1,0.41742063492063486,2025-11-08 13:17:27,2026-01-28 17:30:50
cust_bfc79b5dd5173af1,27,1,1,1,1,0.38352645502645505,2025-11-08 15:50:39,2026-01-27 12:13:09
cust_983302406ae78c14,27,1,1,1,1,0.37703306878306875,2025-11-09 14:03:08,2026-01-29 10:57:10
cust_98df49ccd6690540,27,1,1,1,1,0.3591851851851852,2025-11-03 12:04:46,2026-01-28 10:30:03
cust_790f4c45f526904a,26,1,1,1,1,0.3831909340659341,2025-11-12 10:03:45,2026-01-19 20:01:13
cust_bb55c4f7464f26c2,24,1,1,1,1,0.3746279761904762,2025-11-11 17:09:25,2026-01-27 22:20:07
cust_b6ab7d7bd2294037,22,1,1,1,1,0.4153246753246753,2025-11-01 11:09:29,2026-01-24 15:10:09
cust_d083753bbdd9653f,22,1,1,1,1,0.3193246753246753,2025-11-03 16:03:16,2026-01-16 10:47:14
cust_11c450c94fc03833,20,1,1,1,1,0.3575464285714286,2025-11-03 16:47:02,2026-01-28 17:00:21
cust_6b2f53202e6a4ff6,20,1,1,1,1,0.31440535714285717,2025-11-01 14:25:27,2026-01-26 15:22:43
cust_a62518771b9e9861,20,1,1,1,1,0.3077482142857143,2025-11-02 13:32:26,2026-01-29 14:35:27
cust_a6697a9ca2a027c6,19,1,1,1,1,0.36113533834586464,2025-11-11 20:16:38,2026-01-15 20:16:46
cust_c1fdc7c59d519626,19,1,1,1,1,0.2853834586466165,2025-11-03 12:54:30,2026-01-25 08:40:37
cust_e4abbf990e600466,18,1,1,1,1,0.3913452380952381,2025-11-20 19:19:22,2026-01-27 14:03:04
cust_51e5d2883b2793e3,18,1,1,1,1,0.3686666666666667,2025-11-05 14:37:07,2026-01-27 19:42:48
cust_c711f173b9ec6199,18,0,1,1,1,0.3222638888888889,2025-11-14 04:18:24,2026-01-29 15:15:37
cust_c92720d388589db3,17,0,1,1,1,0.36593697478991594,2025-11-15 11:36:32,2026-01-27 18:34:45
cust_752b8a00bd8a2a23,17,0,1,1,1,0.3177100840336134,2025-11-03 13:11:51,2026-01-26 12:32:28
cust_883e97f3ba1e53b2,17,0,1,1,1,0.31594327731092436,2025-11-06 17:58:34,2026-01-28 17:12:38
cust_69a4cab8fe9290b7,16,1,1,1,1,0.3760290178571428,2025-11-04 12:36:51,2026-01-29 10:15:32
cust_1f63e39199eab5d8,16,1,1,1,1,0.32096875,2025-11-08 11:21:21,2026-01-26 11:39:51
cust_9a1cadd97ff1d07c,16,1,1,1,1,0.29080580357142854,2025-11-04 11:59:37,2026-01-27 18:41:16
cust_d5ef1ad3da5ad69b,15,1,1,1,1,0.3778095238095238,2025-11-02 14:45:44,2026-01-18 13:22:38
cust_23bf2f916fbadb60,15,1,1,1,1,0.3260785714285714,2025-11-05 10:31:12,2026-01-28 15:57:10
cust_b7966267ca397e9a,15,0,1,1,1,0.3059547619047619,2025-11-08 13:02:30,2026-01-27 10:17:24
cust_f031ef024f6515b4,15,0,1,1,1,0.28668333333333335,2025-11-14 13:32:42,2026-01-07 16:46:27
cust_713e178aaaae1e09,14,1,1,1,1,0.36264030612244896,2025-11-18 13:10:05,2026-01-29 09:23:07
cust_276acd9f9504753c,14,1,1,1,1,0.3297857142857143,2025-11-04 14:05:17,2026-01-27 17:55:50
cust_d29b9687e16f55a9,14,1,1,1,1,0.31842602040816326,2025-11-02 11:23:05,2026-01-21 08:40:30
cust_fe58bc9e55f41e65,14,1,1,1,1,0.3052780612244898,2025-11-03 18:49:00,2026-01-29 15:24:23
cust_903d6caf9fffe8cc,14,1,1,1,1,0.2969005102040816,2025-11-03 14:18:56,2026-01-28 14:19:46
cust_de436a2f097bc912,13,0,1,1,1,0.4454203296703297,2025-11-17 15:38:17,2026-01-23 14:11:27
cust_7fd7c59a06289544,13,0,1,1,1,0.3999203296703297,2025-11-04 13:51:44,2026-01-18 13:46:17
cust_df412121f86f4ac0,13,1,1,1,1,0.3499368131868132,2025-11-19 12:40:31,2026-01-28 12:47:41
cust_671bc5884147c179,13,1,1,1,1,0.318239010989011,2025-11-06 11:17:12,2026-01-29 18:41:53
cust_3741e5a46a7658af,13,1,1,1,1,0.3100851648351648,2025-11-11 13:11:00,2026-01-27 13:01:04
cust_6b93986c904d52a7,13,1,0,1,1,0.30514010989010987,2025-11-17 13:14:32,2026-01-17 17:31:37
cust_8d6c2037bca4451a,13,1,1,1,1,0.2888379120879121,2025-11-02 08:54:22,2026-01-29 09:10:48
cust_24549e4da5b50265,13,1,1,1,1,0.27073626373626375,2025-11-01 16:42:31,2026-01-29 14:09:09
cust_bb6ed43fd8f09fe4,12,1,1,1,1,0.4662202380952381,2025-11-04 15:23:20,2026-01-20 14:49:09
cust_6947cb231fd091ad,12,1,1,1,1,0.42215178571428574,2025-11-05 10:37:14,2026-01-16 13:22:27
cust_8a816b5f19a6dcac,12,1,1,1,1,0.39914880952380954,2025-11-06 13:57:18,2026-01-20 18:19:45
cust_b04eb9556e9a5789,12,1,1,1,1,0.3558779761904762,2025-11-03 15:31:51,2026-01-19 14:59:25
cust_57060f7a98728042,12,1,1,1,1,0.32908035714285716,2025-11-07 08:19:17,2026-01-25 14:08:33
cust_266692198a31c37d,12,1,1,1,1,0.32077678571428575,2025-11-13 13:11:16,2026-01-25 10:04:39
cust_73ad2d6a33a81d3a,12,1,1,1,1,0.31893154761904763,2025-11-05 14:11:12,2026-01-28 18:32:11
cust_03d509cec390980f,12,1,1,1,1,0.3081309523809524,2025-11-10 12:48:27,2026-01-21 08:03:49
cust_2cd358f61b6a757a,12,1,1,1,1,0.30078571428571427,2025-11-16 14:37:28,2026-01-26 12:43:00
cust_ab6c7b64dda541c3,12,1,1,1,1,0.28772916666666665,2025-11-04 12:24:51,2026-01-28 17:46:30
cust_e3394ba20303f95e,11,1,1,1,1,0.362237012987013,2025-11-05 16:54:13,2026-01-26 12:21:47
cust_a35bdee068402d58,11,1,1,1,1,0.3297694805194805,2025-11-05 13:48:15,2026-01-28 10:34:41
cust_7611b49111916375,11,1,1,1,1,0.3280389610389611,2025-11-10 11:52:46,2026-01-25 15:30:50
cust_cd233a1fc762182e,11,1,1,1,1,0.2967467532467532,2025-11-10 14:31:59,2026-01-28 09:12:53
cust_7382dd5c1fab9565,11,1,1,1,1,0.2632467532467533,2025-11-09 14:46:33,2026-01-23 11:06:31
cust_9948e09855e12771,11,0,1,1,1,0.2616785714285714,2025-11-03 16:56:53,2026-01-22 15:36:10
cust_7e341ebfb3c843cb,11,1,0,1,1,0.24331168831168834,2025-11-15 20:12:58,2026-01-18 18:06:57
cust_bce8df8631f140bc,10,0,1,1,1,0.359425,2025-11-09 17:28:16,2026-01-16 13:04:39
cust_971085a49afb455f,10,1,1,1,1,0.34354999999999997,2025-11-03 12:36:44,2026-01-26 20:42:56
cust_e51dbd9885d711f4,10,1,1,1,1,0.34174642857142856,2025-11-10 19:52:39,2026-01-19 11:00:23
cust_dc08891d2750a479,10,0,1,1,1,0.33200357142857145,2025-11-02 10:10:09,2026-01-20 13:05:59
cust_1a407fb573ed4bb3,10,0,1,1,1,0.31889285714285714,2025-11-12 07:43:33,2026-01-27 08:27:15
cust_b1de70eef1091e44,10,1,1,1,1,0.3122928571428571,2025-11-03 12:24:46,2026-01-14 08:07:48
cust_9c497b0affaa5e1c,10,1,1,1,1,0.30900714285714287,2025-11-06 17:58:43,2026-01-13 15:53:15
cust_9ac68aad3767d53b,10,0,1,1,1,0.3021642857142857,2025-11-12 13:09:18,2026-01-27 13:56:07
cust_8442e3beec713e65,10,0,1,1,1,0.30084642857142857,2025-11-01 12:29:17,2026-01-19 13:53:24
cust_023256e92793eeda,10,0,1,1,1,0.2958964285714286,2025-11-06 20:02:23,2026-01-24 15:23:54
