flag_missing_required_column,flag_missing_timestamp,flag_missing_customer_phone,flag_bad_timestamp_parse,flag_duplicate_interaction_id,flag_nonbinary_callback_flag,flag_nonbinary_cleanup_flag,flag_nonbinary_port_out_flag,flag_missing_crt,flag_crt_out_of_range,any_flag
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False,False,False,True
